web-scraper-order,web-scraper-start-url,months,months-href,title,date,venue
"1530567168-89","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","August 2018","https://www.whatsonincapetown.com/category/2018/events-in-august-2018/","When in Doubt Say Darling","7 to 25 August 2018","Venue: St George’s Anglican Cathedral, Wale St, Cape Town"
"1530567163-49","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","September 2018","https://www.whatsonincapetown.com/category/2018/events-in-september-2018/","The Buckfever Underground Live","8 September 2018","Venue: Alexander Bar & Theatre"
"1530567168-86","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","August 2018","https://www.whatsonincapetown.com/category/2018/events-in-august-2018/","Celebration of Wine","2 to 5 August 2018","Venue: De Warenmarkt"
"1530567163-46","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","September 2018","https://www.whatsonincapetown.com/category/2018/events-in-september-2018/","Maria Stuarda","26 to 29 September 2018","Venue: Artscape"
"1530567146-6","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","February 2019","https://www.whatsonincapetown.com/category/2019/events-in-february-2019/","The Michael Jackson History Show","17 January 2019 to 9 February 2018","Venue: Artscape Theatre"
"1530567163-55","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","September 2018","https://www.whatsonincapetown.com/category/2018/events-in-september-2018/","Open Book Festival","5 to 9 September 2018","Venue: Fugard Theatre"
"1530567168-84","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","August 2018","https://www.whatsonincapetown.com/category/2018/events-in-august-2018/","Once Upon A Nation","14 July 2018 to 18 August 2018","Venue: Artscape"
"1530567168-79","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","August 2018","https://www.whatsonincapetown.com/category/2018/events-in-august-2018/","My Father’s Coat","14 August 2018","Venue: Nassau Theatre"
"1530567168-87","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","August 2018","https://www.whatsonincapetown.com/category/2018/events-in-august-2018/","Robertson Slow Food & Wine Festival","3 to 5 August 2018","Venue: Robertson Wine Valley"
"1530567163-48","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","September 2018","https://www.whatsonincapetown.com/category/2018/events-in-september-2018/","Soul Fest: TLC, Dru Hill & SWV","4 September 2018","Venue: GrandWest Casino and Entertainment World"
"1530567153-14","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","December 2018","https://www.whatsonincapetown.com/category/2018/events-in-december-2018/","Rezonance 2018","","Venue: tbc
 2019 dates to be confirmed"
"1530567163-45","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","September 2018","https://www.whatsonincapetown.com/category/2018/events-in-september-2018/","Nic Bothma @ Chavonnes Battery Museum","2 March 2018 to 30 November 2018","Venue: Chavonnes Battery Museum"
"1530567163-52","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","September 2018","https://www.whatsonincapetown.com/category/2018/events-in-september-2018/","Street Food Festival","1 to 2 September 2018","Venue: Side Street Studios"
"1530567153-13","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","December 2018","https://www.whatsonincapetown.com/category/2018/events-in-december-2018/","Beethoven Celebrity Gala","20 December 2018","Venue: Cape Town City Hall"
"1530567168-70","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","August 2018","https://www.whatsonincapetown.com/category/2018/events-in-august-2018/","5 Lesbians Eating a Quiche","20 August 2018 to 1 September 2018","Venue: Alexander Bar & Cafe"
"1530567159-26","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","November 2018","https://www.whatsonincapetown.com/category/2018/events-in-november-2018/","Toy Run 2018","18 November 2018","Venue: Killarney Raceway"
"1530567163-54","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","September 2018","https://www.whatsonincapetown.com/category/2018/events-in-september-2018/","Pinotage on Tap","1 September 2018","Venue: Diemersfontein Wine and Country Estate"
"1530567168-94","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","August 2018","https://www.whatsonincapetown.com/category/2018/events-in-august-2018/","Madiba Centenary: USA Orchestra Tribute","10 August 2018","Venue: Cape Town City Hall"
"1530567159-22","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","November 2018","https://www.whatsonincapetown.com/category/2018/events-in-november-2018/","The Tree of Life","2 to 3 November 2018","Venue: Artscape Theatre Centre"
